# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
1               	DILUPBiCGStab	1.00000000e+00	8.33050670e-02	1	1.00000000e+00	7.03392640e-02	1	false	DILUPBiCGStab	1.00000000e+00	5.35888300e-02	1	true	GAMG	1.00000000e+00	7.97693700e-03	31	true	DILUPBiCGStab	9.99994290e-01	2.68743350e-02	2	true	DILUPBiCGStab	3.88748380e-03	2.59520810e-04	1	true
2               	DILUPBiCGStab	2.88524430e-01	1.91879480e-03	1	2.47028760e-01	1.06885410e-03	1	false	DILUPBiCGStab	3.67902890e-01	1.80959530e-02	1	true	GAMG	3.94408480e-01	3.42045170e-03	22	true	DILUPBiCGStab	9.99926900e-01	7.34181450e-02	1	true	DILUPBiCGStab	4.70910700e-03	4.03549310e-04	1	true
3               	DILUPBiCGStab	1.26076850e-01	7.69571740e-04	1	1.22856320e-01	8.03253070e-04	1	false	DILUPBiCGStab	1.91820520e-01	1.17390340e-02	1	true	GAMG	1.17940810e-01	1.03339740e-03	28	true	DILUPBiCGStab	2.35645710e-01	1.34687410e-02	1	true	DILUPBiCGStab	5.22946220e-03	4.40174260e-04	1	true
4               	DILUPBiCGStab	1.02621040e-01	5.44348480e-04	1	8.00868630e-02	4.43368700e-04	1	false	DILUPBiCGStab	1.15006810e-01	8.54619220e-03	1	true	GAMG	8.90986740e-02	6.99809250e-04	20	true	DILUPBiCGStab	1.90509400e-01	1.44627810e-02	1	true	DILUPBiCGStab	5.44282490e-03	4.36250520e-04	1	true
5               	DILUPBiCGStab	8.30104270e-02	3.94116190e-04	1	6.38221470e-02	2.70527940e-04	1	false	DILUPBiCGStab	8.15603410e-02	6.67422320e-03	1	true	GAMG	4.29970620e-01	3.20363980e-03	22	true	DILUPBiCGStab	1.52587750e-01	1.21258490e-02	1	true	DILUPBiCGStab	5.51398980e-03	3.55905820e-04	1	true
6               	DILUPBiCGStab	4.58866580e-02	2.66034990e-04	1	3.13642760e-02	2.07619050e-04	1	false	DILUPBiCGStab	6.41937940e-02	5.64326070e-03	1	true	GAMG	1.06332590e-01	9.12953260e-04	26	true	DILUPBiCGStab	9.58490210e-02	6.31917880e-03	1	true	DILUPBiCGStab	5.79863900e-03	2.91127090e-04	1	true
7               	DILUPBiCGStab	3.83160990e-02	1.73425910e-04	1	2.75099360e-02	1.12956310e-04	1	false	DILUPBiCGStab	5.20124080e-02	4.87799800e-03	1	true	GAMG	2.71988420e-01	2.18507210e-03	19	true	DILUPBiCGStab	8.20872520e-02	5.74059420e-03	1	true	DILUPBiCGStab	6.11792070e-03	2.64532670e-04	1	true
8               	DILUPBiCGStab	2.54996620e-02	1.52957620e-04	1	2.06998650e-02	1.44116580e-04	1	false	DILUPBiCGStab	4.23106580e-02	4.20888740e-03	1	true	GAMG	7.58621480e-02	5.87648640e-04	22	true	DILUPBiCGStab	8.91253880e-02	8.48467220e-03	1	true	DILUPBiCGStab	5.59744300e-03	2.75430910e-04	1	true
9               	DILUPBiCGStab	1.88258610e-02	9.32938250e-05	1	1.48553290e-02	1.02971580e-04	1	false	DILUPBiCGStab	3.47082810e-02	2.91994840e-04	1	true	GAMG	7.01125790e-02	5.62661440e-04	21	true	DILUPBiCGStab	9.52822990e-02	7.95300880e-03	1	true	DILUPBiCGStab	5.11454050e-03	2.93736880e-04	1	true
10              	DILUPBiCGStab	1.15905720e-02	3.57288150e-05	1	8.88434430e-03	3.54256070e-05	1	false	DILUPBiCGStab	2.90900230e-02	2.36567010e-03	1	true	GAMG	9.83760660e-02	7.75032420e-04	20	true	DILUPBiCGStab	8.94068870e-02	6.67397870e-03	1	true	DILUPBiCGStab	4.73524290e-03	3.14165910e-04	1	true
